project,description,version,developers,url,year,licenses,license urls,dependency
Lifecycle Kotlin Extensions,"Kotlin extensions for 'lifecycle' artifact",2.8.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/lifecycle#2.8.0,2019,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.lifecycle:lifecycle-runtime-ktx-android:2.8.0
Lifecycle LiveData,Android Lifecycle LiveData,2.8.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/lifecycle#2.8.0,2017,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.lifecycle:lifecycle-livedata:2.8.0
Lifecycle LiveData Core,Android Lifecycle LiveData Core,2.8.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/lifecycle#2.8.0,2017,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.lifecycle:lifecycle-livedata-core:2.8.0
Lifecycle Process,Android Lifecycle Process,2.8.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/lifecycle#2.8.0,2018,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.lifecycle:lifecycle-process:2.8.0
Lifecycle Runtime,Android Lifecycle Runtime,2.8.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/lifecycle#2.8.0,2017,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.lifecycle:lifecycle-runtime-android:2.8.0
Lifecycle Runtime,Android Lifecycle Runtime,2.8.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/lifecycle#2.8.0,2017,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.lifecycle:lifecycle-runtime-desktop:2.8.0
Lifecycle ViewModel,Android Lifecycle ViewModel,2.8.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/lifecycle#2.8.0,2017,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.lifecycle:lifecycle-viewmodel-android:2.8.0
Lifecycle ViewModel,Android Lifecycle ViewModel,2.8.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/lifecycle#2.8.0,2017,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.lifecycle:lifecycle-viewmodel-desktop:2.8.0
Lifecycle ViewModel,Android Lifecycle ViewModel,2.8.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/lifecycle#2.8.0,2017,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.lifecycle:lifecycle-viewmodel:2.8.0
Lifecycle ViewModel Compose,Compose integration with Lifecycle ViewModel,2.8.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/lifecycle#2.8.0,2021,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.lifecycle:lifecycle-viewmodel-compose-android:2.8.0
Lifecycle ViewModel Compose,Compose integration with Lifecycle ViewModel,2.8.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/lifecycle#2.8.0,2021,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.lifecycle:lifecycle-viewmodel-compose-desktop:2.8.0
Lifecycle ViewModel Kotlin Extensions,"Kotlin extensions for 'viewmodel' artifact",2.8.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/lifecycle#2.8.0,2018,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.lifecycle:lifecycle-viewmodel-ktx:2.8.0
Lifecycle ViewModel with SavedState,Android Lifecycle ViewModel,2.8.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/lifecycle#2.8.0,2018,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.lifecycle:lifecycle-viewmodel-savedstate:2.8.0
Lifecycle-Common,Android Lifecycle-Common,2.8.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/lifecycle#2.8.0,2017,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.lifecycle:lifecycle-common-jvm:2.8.0
Lifecycle-Common for Java 8,Android Lifecycle-Common for Java 8 Language,2.8.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/lifecycle#2.8.0,2017,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.lifecycle:lifecycle-common-java8:2.8.0
LiveData Core Kotlin Extensions,"Kotlin extensions for 'livedata-core' artifact",2.8.0,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/lifecycle#2.8.0,2018,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.lifecycle:lifecycle-livedata-core-ktx:2.8.0
Navigation Common,Android Navigation-Common,2.7.7,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/navigation#2.7.7,2017,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.navigation:navigation-common:2.7.7
Navigation Common Kotlin Extensions,Android Navigation-Common-Ktx,2.7.7,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/navigation#2.7.7,2018,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.navigation:navigation-common-ktx:2.7.7
Navigation Runtime,Android Navigation-Runtime,2.7.7,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/navigation#2.7.7,2017,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.navigation:navigation-runtime:2.7.7
Navigation Runtime Kotlin Extensions,Android Navigation-Runtime-Ktx,2.7.7,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/navigation#2.7.7,2018,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.navigation:navigation-runtime-ktx:2.7.7
okhttp,Square’s meticulous HTTP client for Java and Kotlin.,4.12.0,"Square, Inc.",https://square.github.io/okhttp/,,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,com.squareup.okhttp3:okhttp:4.12.0
okio,"A modern I/O library for Android, Java, and Kotlin Multiplatform.",3.7.0,"Square, Inc.",https://github.com/square/okio/,,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,com.squareup.okio:okio-jvm:3.7.0
Parcelize Runtime,Runtime library for the Parcelize compiler plugin,2.0.0,Kotlin Team,https://kotlinlang.org/,,"The Apache License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,org.jetbrains.kotlin:kotlin-parcelize-runtime:2.0.0
pbandk-protos,Kotlin library for Protocol Buffers. This artifact contains the .proto files for the Protocol Buffer Well-Known Types.,0.16.0,"Streem, LLC",https://github.com/streem/pbandk,,MIT License,https://opensource.org/licenses/MIT,pro.streem.pbandk:pbandk-protos:0.16.0
pbandk-runtime-android,Kotlin runtime library for Protocol Buffers. It is built to work across multiple Kotlin platforms.,0.16.0,"Streem, LLC",https://github.com/streem/pbandk,,MIT License,https://opensource.org/licenses/MIT,pro.streem.pbandk:pbandk-runtime-android:0.16.0
Room-Common,Android Room-Common,2.7.0-alpha07,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/room#2.7.0-alpha07,2017,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.room:room-common-jvm:2.7.0-alpha07
Room-Runtime,Android Room-Runtime,2.7.0-alpha07,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/room#2.7.0-alpha07,2017,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.room:room-runtime-android:2.7.0-alpha07
Saved State,Android Lifecycle Saved State,1.2.1,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/savedstate#1.2.1,2018,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.savedstate:savedstate:1.2.1
SavedState Kotlin Extensions,"Kotlin extensions for 'savedstate' artifact",1.2.1,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/savedstate#1.2.1,2020,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.savedstate:savedstate-ktx:1.2.1
SLF4J API Module,The slf4j API,1.7.36,,http://www.slf4j.org,,MIT License,http://www.opensource.org/licenses/mit-license.php,org.slf4j:slf4j-api:1.7.36
SQLite,SQLite API,2.5.0-alpha07,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/sqlite#2.5.0-alpha07,2017,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.sqlite:sqlite-android:2.5.0-alpha07
SQLite Bundled Integration,The implementation of SQLite library using the bundled SQLite.,2.5.0-alpha07,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/sqlite#2.5.0-alpha07,2023,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.sqlite:sqlite-bundled-android:2.5.0-alpha07
SQLite Framework Integration,The implementation of SQLite library using the framework code.,2.5.0-alpha07,The Android Open Source Project,https://developer.android.com/jetpack/androidx/releases/sqlite#2.5.0-alpha07,2017,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.sqlite:sqlite-framework-android:2.5.0-alpha07
Stately,Multithreaded Kotlin Multiplatform Utilities,2.0.6,Kevin Galligan,https://github.com/touchlab/Stately,,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,co.touchlab:stately-concurrency-jvm:2.0.6
Stately,Multithreaded Kotlin Multiplatform Utilities,2.0.6,Kevin Galligan,https://github.com/touchlab/Stately,,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,co.touchlab:stately-concurrent-collections-jvm:2.0.6
Stately,Multithreaded Kotlin Multiplatform Utilities,2.0.6,Kevin Galligan,https://github.com/touchlab/Stately,,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,co.touchlab:stately-strict-jvm:2.0.6
Tuulbox,Toolbox of utilities/helpers for Kotlin development,8.0.0,Travis Wyatt,https://github.com/JuulLabs/tuulbox,2020,"The Apache Software License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0.txt,com.juul.tuulbox:collections-jvm:8.0.0
Tuulbox,Toolbox of utilities/helpers for Kotlin development,8.0.0,Travis Wyatt,https://github.com/JuulLabs/tuulbox,2020,"The Apache Software License, Version 2.0",https://www.apache.org/licenses/LICENSE-2.0.txt,com.juul.tuulbox:coroutines-android:8.0.0
UUID,A Kotlin multiplatform implementation of a v4 RFC4122 UUID,0.8.4,Ben Asher,https://github.com/benasher44/uuid/,,MIT License,https://opensource.org/licenses/mit-license,com.benasher44:uuid-jvm:0.8.4
VersionedParcelable,Provides a stable but relatively compact binary serialization format that can be passed across processes or persisted safely.,1.1.1,The Android Open Source Project,http://developer.android.com/tools/extras/support-library.html,2018,"The Apache Software License, Version 2.0",http://www.apache.org/licenses/LICENSE-2.0.txt,androidx.versionedparcelable:versionedparcelable:1.1.1
